experiment,condition,seed,generation_count,gen,population_size,mutation_rate,tournament_size,elite_rate,architecture,parameter_count,input_pattern,weight_profile,best_fitness,avg_fitness
seed_repeat,fast_best_0.20_t3,45,24,0,16,0.2,3,0.2,1x16,242,default,baseline,176.01205572940387,142.46705767544887
seed_repeat,fast_best_0.20_t3,45,24,1,16,0.2,3,0.2,1x16,242,default,baseline,176.01205572940387,146.86751465819214
seed_repeat,fast_best_0.20_t3,45,24,2,16,0.2,3,0.2,1x16,242,default,baseline,176.54085674620032,158.05820226498446
seed_repeat,fast_best_0.20_t3,45,24,3,16,0.2,3,0.2,1x16,242,default,baseline,180.13313152217847,169.5964185450858
seed_repeat,fast_best_0.20_t3,45,24,4,16,0.2,3,0.2,1x16,242,default,baseline,190.54845327277576,172.03763707215924
seed_repeat,fast_best_0.20_t3,45,24,5,16,0.2,3,0.2,1x16,242,default,baseline,192.78294039718315,171.86284118218254
seed_repeat,fast_best_0.20_t3,45,24,6,16,0.2,3,0.2,1x16,242,default,baseline,192.78294039718315,169.35633353804684
seed_repeat,fast_best_0.20_t3,45,24,7,16,0.2,3,0.2,1x16,242,default,baseline,194.79512607508678,183.0451304331606
seed_repeat,fast_best_0.20_t3,45,24,8,16,0.2,3,0.2,1x16,242,default,baseline,205.36864536123397,186.63672810167446
seed_repeat,fast_best_0.20_t3,45,24,9,16,0.2,3,0.2,1x16,242,default,baseline,217.07498570434865,195.3830981705653
seed_repeat,fast_best_0.20_t3,45,24,10,16,0.2,3,0.2,1x16,242,default,baseline,217.07498570434865,197.6632256638388
seed_repeat,fast_best_0.20_t3,45,24,11,16,0.2,3,0.2,1x16,242,default,baseline,229.9893707500353,204.80435643137952
seed_repeat,fast_best_0.20_t3,45,24,12,16,0.2,3,0.2,1x16,242,default,baseline,229.9893707500353,214.2888483167481
seed_repeat,fast_best_0.20_t3,45,24,13,16,0.2,3,0.2,1x16,242,default,baseline,237.14002850510002,224.94164201430917
